"id","place_id","name","description"
"1","3","استرداد مفقودات","في حاله تم فقد شئ منك يمكنك استرداده	"
"2","3","ابلاغ عن مشاحنات","في حاله تم مشاحنه بينك وبين شخص ما يمكنك الابلاغ عنها	
"
"3","5","تقديم الشكاوي والطلبات والمقترحات","في حاله وجود شكوي او انك تريد تقديم طلب ما او اقتراج جديد يمكنك المشاركه به"
"4","4","اعتماد كل ما يخض شئون الدراسات العليا","اعتماد ما يخص الدراسات العليا من ابحاث و دكتوراة و ماجستير و دبلوم مهني"
"5","4","خدمات الكليه للبيئه وشئون المحتمع","ما يخص خدمات الكليه للبييئه المحيطه وشئون المجتمع والاشراف علي مركز الاستشارات"
"6","11","استرداد مصروفات تم دفعها بالغلط","في حاله حدوث خطأ اثناء دفع المصاريف"
"7","11","ادراج مكافأت التميز","كل ما يخص المعاملات المالية من مرتبات ومكافئات والتعاملات الماليه للطلاب"
"8","12","التسجيل بالكليه","يقوم قسم شؤون الطلاب بتسجيل الطلاب الجدد وإدارة عمليات القبول والتسجيل في الكلية"
"9","12","طلب اجازة مرضيه او تاجيل للامتحانات","في حاله انك تريد طلب اجازة مرضيه او تاجيل موعد امتحانك"
"10","12","اعتماد ملفات التقدم للكليات العسكريه وحسن السير والسلوك","في حاله اذا كنت تريد اعتماد ملفات التقديم للكليات العسكريه وحسن السير والسلوك"
"11","12","شئون الفرقه الاولي","في حاله انك تريد المسئول عن شئون الفرقة االاولي	
"
"12","12","شئون الفرقة التاني","في حاله انك تريد المسئول عن شئون الفرقة التاني"
"13","12","شئون الفرقة التالته","في حاله انك تريد المسئول عن شئون الفرقة التالته"
"14","12","شئون الفرقة الرابعه","في حاله انك تريد المسئول عن شئون الفرقة الرابعه"
"15","12","طلبات التحويلات","في حاله اذا كنت تريد التحويل من كليه الي اخري	
"
"16","12","الحصول علي بيان النجاج","في حاله انك تريد الحصول علي بيان نجاحك"
"17","12","الحصول علي بيان حاله الطالب ","في حاله انك تريد الحصول علي بيان الحاله الخاص بك "
"18","12","تصريح سفر للطالب اثناء الدراسة","في حاله ان الطاللب يريد السفر للخارج اثناء فترة الدراسة"
"19","16","مواعيد امتحانات الدراسات العليا والمحاضرات","كل ما يخض الدراسات العليا من (دكتوراة وماجستير ودبلوم) مهني من مواعيد امتحانات وجداول ومحاضرات"
"20","17","استخراج الشهادات الخاصه بالموظفين","استخراج الشهادات كافه الخاصه بالموظفين"
"21","14","اعتماد كافه المكاتبات الخاصه بالكليه","اعتماد كافه المكاتبات الخاصه بالكليه وحل المشكلات الاداريه و حل مشكلات المرافق للطلاب	
"
"22","30","قراءة المراجع العلميه "," في حاله انك تريد الاطلاع علي المرجع العلميه العربيه والانجليزية وتصويرها"
"23","30","مشاريع تخرج الطلاب ","في حاله انك تريد الاطلاع علي مشاريع تخرج طلاب الكلية"
"24","30","الابحاث والرسائل العلميه للخريجبين","في حاله انك تريد الاطلاع علي الابحاث والرسائل العلميه للخريجبين"
"25","22","الجداول الدراسيه","كل ما يخص الجداول الدراسيه وقاعات المحاضرات والسكاشن والقائمين عليها	
"
"26","26","الانشطه الطلابيه","كل ما يخص الانشطه الطلابيه من مجالات ثقافيه واجتماعيه و فنيه و ورياضيه وجواله واسر علميه ومسرح"
"27","30","الاستعارة للكتب والمراجع العلميه","خدمة إستعاره الكتب والمواد المكتبية للطلاب وأعضاء هيئة التدريس والباحثين لاستخدامها لفترة محددة.	
"
"28","26","صندوق التكافل الاجتماعي","(ابحاث اجتماعيه (صندوق التكافل الاجتماعي"
