"id","employee_id","service_id","created_at","updated_at"
"1","1","1",NULL,NULL
"2","1","2",NULL,NULL
"3","2","1",NULL,NULL
"4","2","2",NULL,NULL
"5","3","3",NULL,NULL
"6","4","3",NULL,NULL
"7","5","3",NULL,NULL
"8","6","5",NULL,NULL
"9","7","4",NULL,NULL
"10","8","6",NULL,NULL
"11","8","7",NULL,NULL
"12","9","6",NULL,NULL
"13","9","7",NULL,NULL
"14","10","18",NULL,NULL
"15","11","8",NULL,NULL
"16","11","14",NULL,NULL
"17","11","16",NULL,NULL
"18","11","17",NULL,NULL
"19","12","10",NULL,NULL
"20","13","11",NULL,NULL
"21","14","12",NULL,NULL
"22","15","13",NULL,NULL
"23","16","9",NULL,NULL
"24","16","15",NULL,NULL
"25","17","20",NULL,NULL
"26","18","19",NULL,NULL
"27","19","21",NULL,NULL
"28","19","22",NULL,NULL
"29","19","23",NULL,NULL
"30","19","26",NULL,NULL
"31","20","21",NULL,NULL
"32","20","22",NULL,NULL
"33","20","23",NULL,NULL
"34","20","26",NULL,NULL
"35","21","25",NULL,NULL
"36","21","27",NULL,NULL
"37","22","25",NULL,NULL
"38","22","27",NULL,NULL
"39","23","24",NULL,NULL
